Date,Open,High,Low,Close,Shares Traded,Turnover (â‚¹ Cr)
10-Jul-23,19400.35,19435.85,19327.1,19355.9,268246132,25991.55
11-Jul-23,19427.1,19515.1,19406.45,19439.4,251263638,26883.78
12-Jul-23,19497.45,19507.7,19361.75,19384.3,327941559,40163.14
13-Jul-23,19495.2,19567,19385.8,19413.75,310442517,27244.56
14-Jul-23,19493.45,19595.35,19433.5,19564.5,291165841,25484.44
17-Jul-23,19612.15,19731.85,19562.95,19711.45,268707894,25975.57
18-Jul-23,19787.5,19819.45,19690.2,19749.25,286353897,33269.08
19-Jul-23,19802.95,19851.7,19727.45,19833.15,259660464,26447.9
20-Jul-23,19831.7,19991.85,19758.4,19979.15,274698867,30622.66
21-Jul-23,19800.45,19887.4,19700,19745,,
24-Jul-23,19748.45,19782.75,19658.3,19672.35,265562151,24522.29
25-Jul-23,19729.35,19729.35,19615.95,19680.6,369653496,29665.67
26-Jul-23,19733.35,19825.6,19716.7,19778.3,244747425,23023.86
27-Jul-23,19850.9,19867.55,19603.55,19659.9,334891351,35019.13
28-Jul-23,19659.75,19695.9,19563.1,19646.05,258671382,22995.98
31-Jul-23,19666.35,19772.75,19597.6,19753.8,295053318,23075.38
01-Aug-23,19784,19795.6,19704.6,19733.55,298048161,24554.71
02-Aug-23,19655.4,19678.25,19423.55,19526.55,290666798,23997.47
03-Aug-23,19463.75,19537.65,19296.45,19381.65,315688612,29899.38
04-Aug-23,19462.8,19538.85,19436.45,19517,280799561,28086.15
07-Aug-23,19576.85,19620.45,19524.8,19597.3,216586074,21655.87
08-Aug-23,19627.2,19634.4,19533.1,19570.85,260294052,25437.47
09-Aug-23,19578.8,19645.5,19467.5,19632.55,266495074,23201.75
10-Aug-23,19605.55,19623.6,19495.4,19543.1,312193785,29430.34
11-Aug-23,19554.25,19557.75,19412.75,19428.3,235524048,24521.24
14-Aug-23,19383.95,19465.85,19257.9,19434.55,243850815,22767.43
16-Aug-23,19369,19482.75,19317.2,19465,226627230,21484.66
17-Aug-23,19450.55,19461.55,19326.25,19365.25,268663456,26505.65
18-Aug-23,19301.75,19373.8,19253.6,19310.15,256142364,25641.41
21-Aug-23,19320.65,19425.95,19296.3,19393.6,262589133,20738.75
22-Aug-23,19417.1,19443.5,19381.3,19396.45,208704354,20226.48
23-Aug-23,19439.2,19472.05,19366.6,19444,225214991,20167.16
